,Profit/Loss
2014-04-17,-1886.7927568660525
2014-04-22,1823.9177377204762
2014-04-30,948.5907681992458
2014-05-12,1938.535410529007
2014-05-27,-1791.643086426903
2014-06-05,2840.234867241074
2014-06-18,-128.24188115777636
2014-06-24,1638.8009533817017
2014-07-08,1307.5345463449823
2014-07-16,857.1886916961942
2014-07-23,1400.174581467041
2014-07-31,3613.4580697608694
2014-08-11,1036.8525405554155
2014-08-13,2877.621455637359
2014-08-18,1984.0966330754711
2014-08-20,2929.468945485942
2014-08-29,638.8451061578762
2014-09-17,2618.663261180019
2014-10-13,-1647.255955911407
2014-10-24,8294.747975002607
2014-11-03,2389.3598925439987
2014-11-11,4479.4447336579515
2014-11-19,2823.2759035417735
2014-11-24,851.4893280887269
2014-12-02,735.003384808715
2014-12-12,-223.56562265873117
2014-12-18,4831.091440435536
2015-01-06,-91.49776540528023
2015-01-14,1043.9628786279834
2015-02-18,-10249.15409951198
2015-03-04,375.03748314689045
2015-03-11,900.0398280252634
2015-03-17,1443.1500320377154
2015-03-24,662.1471348608018
2015-04-06,1755.1916739919493
2015-04-17,1189.8439863683298
2015-05-01,-2303.3792896133405
2015-05-15,273.9369113698308
2015-05-28,868.6968599912004
2015-06-08,2785.2169481670535
2015-06-24,2.3764315657881525
2015-07-09,6572.917169994778
2015-07-23,8121.571978688662
2015-07-31,5524.720337706055
2015-08-14,-1020.3952126514911
2015-08-18,1096.387644324421
2015-08-24,5489.801343395835
2015-08-26,8633.610508221454
2015-09-23,-5753.424985873786
2015-10-06,782.7397294926341
2015-10-14,2390.124350233756
2015-10-21,509.73407776302474
2015-10-30,-188.8295502085592
2015-11-13,1454.481205544736
2015-11-20,1191.5436005343204
2015-12-16,-3332.6527010104705
2015-12-21,1532.645559155142
2015-12-29,575.1450590593374
2016-01-04,1471.9707564569694
2016-01-07,3075.4157293282447
2016-01-21,182.269577778231
2016-02-16,-4542.775320447688
2016-02-18,2259.4247325655447
2016-02-26,495.0484483075862
2016-03-10,-1108.7791054350216
2016-04-01,-2075.5621839566115
2016-04-11,1021.1733533768285
2016-04-13,741.077409906392
2016-04-19,1742.9176698599865
2016-04-25,2241.18716363666
2016-04-28,2577.49841419668
2016-05-13,-175.928363581309
2016-05-26,291.7138130523824
2016-06-17,-1420.199627480422
2016-06-21,1185.7156458983534
2016-06-29,1514.539565967262
2016-07-08,2517.7091376869957
2016-07-12,1954.7972341772497
2016-07-15,1832.440029515897
2016-07-26,2258.3091463660544
2016-08-02,1676.4920189334928
2016-08-26,-3547.615289326826
2016-09-06,1125.8506668015293
2016-09-22,-1428.429625504934
2016-10-05,92.077103449285
2016-10-14,3999.6016856653155
2016-11-01,-1741.9168470323925
2016-11-10,6434.323239372918
2016-11-22,1925.223217374131
2016-12-08,1216.063312820104
2016-12-16,26.571695453689244
2017-01-05,55.222069198840245
2017-01-11,2027.6932758238663
2017-01-17,3387.954998842316
2017-01-23,5005.763431259649
2017-01-30,2470.999036271245
2017-02-01,2428.0083351036565
2017-02-09,1258.1260522757254
2017-02-16,980.3937864484338
2017-03-03,-786.3740153618159
2017-03-14,514.9657192908272
2017-03-20,3260.9266809959363
2017-03-29,3891.259495871099
2017-04-04,2360.8153473591756
2017-04-07,5413.511390955975
2017-04-18,2056.1583633214223
2017-04-24,2545.9893383181397
2017-05-03,2626.6039201067565
2017-05-31,-7789.28835697232
2017-06-02,706.9628942831322
2017-06-21,-2013.6459743297446
2017-07-05,3105.6841435356814
2017-07-18,112.08654973386751
2017-07-21,1302.914893659683
2017-08-07,-921.5761248204235
2017-08-15,2105.3086115841343
2017-08-23,364.5240999529914
2017-08-31,3150.9844012389603
2017-09-14,6874.764310711259
2017-09-20,3006.2859293371503
2017-10-05,496.3065847014667
2017-10-18,1173.8417860783798
2017-10-31,4613.63537826677
2017-11-08,3047.174104292282
2017-11-15,813.7937152861322
2017-12-05,-2431.300088948588
2017-12-07,913.4167779243153
2017-12-15,1221.4683585541475
2017-12-20,1306.6531440068848
2017-12-29,3383.693070906601
2018-01-05,4637.367237454962
2018-01-16,995.9685318031886
2018-01-30,1937.4334594499915
2018-02-05,4639.748387806719
2018-03-01,-462.18141700313413
2018-03-13,424.917425504941
2018-03-15,1353.4899273943768
2018-03-23,2845.8296074349096
2018-04-06,-876.932466249454
2018-04-16,6079.349078702338
2018-05-04,-1238.128445271742
2018-05-15,556.8975511527689
2018-05-24,1756.2309444732239
2018-06-01,1053.4491831775497
2018-06-08,930.3217853111497
2018-06-15,1056.9820327057198
2018-06-21,2840.863849646894
2018-07-02,2521.284985856642
2018-07-09,951.5590859325249
2018-07-19,819.4181390974505
2018-07-24,787.9394930739201
2018-07-27,495.0486491320579
2018-08-06,1919.6707111627247
2018-08-13,1806.4442423313972
2018-08-21,906.3427183334678
2018-08-31,-229.93826840112774
2018-09-06,2595.8750028456
2018-09-18,21942.751879606694
2018-09-21,13268.977815933302
2018-10-10,852.4835515210307
2018-10-22,-1752.8182078505076
2018-10-30,3398.614608649284
2018-11-15,-5234.5759462487185
2018-11-26,1779.1618415379232
2018-12-19,2152.3922930700924
2019-01-03,735.5703249363708
2019-01-17,10966.745625046578
2019-01-31,-13764.881853660856
2019-02-12,3216.3405238207997
2019-02-25,-2852.2114164519107
2019-03-08,1879.3271148843755
2019-03-21,384.03015494637964
2019-03-28,1069.2444150179786
2019-04-11,-2026.1684307505377
2019-05-03,-3942.6858012880753
2019-05-21,-3625.541628194577
2019-06-03,1737.49075749188
2019-06-18,844.7905401506243
2019-07-01,525.1635328643431
2019-07-15,-4151.28241331681
2019-07-25,625.9482474679152
2019-07-29,2603.119897575861
2019-07-31,1997.9129107305764
2019-08-05,1945.496435846239
2019-08-20,1545.5299803887278
2019-08-26,1091.7030749542216
2019-09-12,-805.7039842658478
2019-09-16,5723.711479377054
2019-09-19,13107.54923019498
2019-09-30,6018.418659711157
2019-10-09,-776.9415631168822
2019-10-25,2121.091919850518
2019-10-31,3340.01418177939
2019-11-19,-2391.2301798439767
2019-11-29,508.886012458878
2019-12-11,223.5989419282605
2019-12-18,477.0028671316265
2020-01-02,-1358.9372913226555
2020-01-09,1727.0196442083727
2020-01-14,2864.358752244892
2020-01-21,6286.219589499345
2020-01-30,-194.86564149367155
2020-02-04,3982.115078616057
2020-02-06,5248.817365992347
2020-02-12,2265.2173605524667
2020-03-02,1582.8196406921593
2020-03-09,14975.998973563652
2020-03-24,11746.398994440915
2020-03-30,11804.048848463488
2020-04-16,-1629.0980605940395
2020-04-28,10771.610869617009
2020-05-04,13100.086731862362
2020-05-06,11750.29401410447
2020-05-15,9044.274865731744
2020-05-19,7161.84850887676
2020-06-02,-126.83500320866642
2020-06-11,6607.772811410288
2020-06-18,8086.619289772608
2020-06-29,999.1750612799783
2020-07-06,5992.6918068617215
2020-07-20,2570.46454923459
2020-08-03,5611.063167503481
2020-08-05,9000.738797521635
2020-08-19,-6964.497012547028
2020-08-27,2784.397465729142
2020-09-01,3567.0213520754182
2020-09-09,5669.795998552942
2020-09-23,3504.4535724977586
2020-10-15,1039.5508602416198
2020-10-30,-200.98906533969193
2020-11-17,-5975.030558927072
2020-12-11,-1758.5941426341005
2020-12-18,1821.3855434802085
2020-12-23,1999.8681361491028
2021-01-07,-1690.0858034754
2021-01-15,777.9507215690555
2021-01-27,3686.7004395645035
2021-02-03,501.85200928125596
2021-02-08,6358.389640591464
2021-03-01,-1439.5902644008193
2021-03-18,-3021.90495970963
2021-04-01,951.3589599514376
2021-04-12,-169.63631142395002
2021-04-19,677.1059256501853
2021-04-27,1195.561107986406
2021-05-07,981.7811720191053
2021-05-17,107.33028481553856
2021-05-25,844.6159547886864
2021-06-01,92.70309835464332
2021-06-04,1067.7516675412035
2021-06-10,1004.1785414161591
2021-06-16,74.69366802615673
2021-07-01,-182.29631211843594
2021-07-15,72.82917391704825
2021-07-26,1658.7059436783532
2021-08-12,-2951.0085778783487
2021-08-20,1289.2800975855907
2021-09-01,1395.8473949302065
2021-09-08,160.51900815957413
2021-09-17,1515.7310804963665
2021-10-07,-1160.2584413133677
2021-10-18,-504.4842557488945
2021-10-25,810.9752211436479
2021-10-29,2223.0589804898186
2021-11-05,2497.230631265318
2021-11-19,-241.88818668957379
2021-11-26,880.8102778981242
2021-12-03,1224.0154328988503
2021-12-09,308.2698380229357
2021-12-15,858.5293737612933
2021-12-23,478.0762535225877
2021-12-29,482.54472203215863
2022-01-12,-1792.498948097787
2022-01-19,2374.044445389937
2022-01-21,1359.2951857988455
2022-02-01,257.3805952609256
2022-02-07,1571.0512128091573
2022-03-02,-2399.0818430311306
2022-03-14,-104.58008443849349
2022-03-23,-21.659986195805686
2022-03-28,2305.0398977380178
2022-04-01,1662.8678975101998
2022-04-20,-1790.2543165548552
2022-04-29,1858.0686148232462
2022-05-09,1092.191831029812
2022-05-17,392.4641985769365
2022-05-20,1340.1648921486178
2022-05-31,-23.40335432506606
